location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr 
samsung ram 42.3432076 -71.09890222 1434571515000 0.0 3G -83.0 0.0 -1 -1 2147483647
samsung ram 42.3394679 -71.09040017 1434571517000 0.5 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946742 -71.09040354 1434571518000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946502 -71.09040403 1434571519000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946469 -71.09040534 1434571520000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946401 -71.09040586 1434571521000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33949164 -71.09039337 1434571522000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33949541 -71.09039075 1434571523000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33950121 -71.09038591 1434571524000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33951358 -71.09037889 1434571525000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33952124 -71.09037345 1434571526000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33951241 -71.09037257 1434571527000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33951582 -71.0903716 1434571528000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33952015 -71.09036913 1434571529000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33952136 -71.09036954 1434571530000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33952255 -71.0903691 1434571531000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33952221 -71.09036921 1434571532000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.3395221 -71.09036925 1434571533000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3395222 -71.09036924 1434571534000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3395221 -71.09036929 1434571535000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.3395219 -71.09036931 1434571536000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33952183 -71.0903693 1434571537000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33951901 -71.09037045 1434571538000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33951763 -71.09037097 1434571539000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33951587 -71.09037161 1434571540000 0.0 3G 0.0 0.0 -1 -1 2147483647
