location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr throughput_down throughput_up delayCon delay pdr 
Broadway ram 42.34402583 -71.05736243 1433367732653 6.5 3G -81.0 6.4 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34396556 -71.05697652 1433367735654 6.5 3G -81.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34414153 -71.0572325 1433367736650 6.0 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34429237 -71.05744522 1433367742000 4.5 3G -81.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34428199 -71.05770321 1433367747000 4.5 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34409327 -71.05774525 1433367749000 6.0 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34391449 -71.05786245 1433367752000 7.5 3G 0.0 0.0 -1 -1 2147483647 0.1180615626987098 0.0 2381.0 413.0 100.0
Broadway ram 42.34372359 -71.05794823 1433367754000 9.25 3G -81.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34348724 -71.05804917 1433367757000 8.75 3G -81.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34326722 -71.05813019 1433367760000 8.25 3G -86.33333333333333 6.222222222222221 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34309226 -71.05807279 1433367764000 6.0 3G -98.5 26.75 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34294524 -71.05788644 1433367767000 7.5 3G -105.0 0.0 -1 -1 2147483647 0.11804864850458392 0.0 1145.0 488.0 100.0
Broadway ram 42.34295732 -71.05764247 1433367781000 0.75 3G -99.66666666666667 16.888888888888893 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34297054 -71.05738534 1433367794000 2.75 3G -94.2 0.96 -1 -1 2147483647 0.11791966178200461 0.0 1667.0 428.0 100.0
Broadway ram 42.34290671 -71.05714978 1433367802000 2.75 3G -95.5 0.7500000000000001 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34271706 -71.05713951 1433367820000 3.5 3G -101.75 5.9375 -1 -1 2147483647 0.11871089480023168 0.0 1246.0 180.0 100.0
Broadway ram 42.34239735 -71.05716575 1433367824000 5.0 3G -101.0 2.6666666666666665 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34219771 -71.05713785 1433367827000 7.0 3G -99.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34199506 -71.05713781 1433367829000 5.5 3G -99.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34177068 -71.05718258 1433367834000 4.5 3G -102.33333333333333 0.888888888888889 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.3418118 -71.05743999 1433367838000 5.5 3G -102.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34186699 -71.05772571 1433367841000 8.5 3G -99.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34196169 -71.05807075 1433367844000 10.25 3G -98.66666666666667 0.5555555555555555 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34204113 -71.05831566 1433367846000 10.75 3G -95.0 0.0 -1 -1 2147483647 0.11781667517782819 0.0 2098.0 447.0 100.0
Broadway ram 42.34211385 -71.05856089 1433367848000 10.75 3G -93.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34216944 -71.05882751 1433367850000 10.5 3G -89.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34220307 -71.05908134 1433367852000 10.25 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34223363 -71.0593494 1433367854000 10.75 3G -89.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34228196 -71.05960565 1433367856000 10.5 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34233206 -71.05984077 1433367858000 10.75 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.34238371 -71.0601065 1433367860000 11.5 3G -89.0 0.0 -1 -1 2147483647 NA NA NA NA NA
