location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr throughput_down throughput_up delayCon delay pdr 
9bus061915 lou 42.35012297 -71.07638447 1434723891400 6.900384426116943 4G -53.0 0.0 -1 2147483647 118 NA NA NA NA NA
9bus061915 lou 42.35020307 -71.07612825 1434723894000 6.922607898712158 4G -51.0 0.0 -1 2147483647 82 NA NA NA NA NA
9bus061915 lou 42.35029682 -71.07592067 1434723899000 5.0419440269470215 4G -53.0 0.0 -1 2147483647 42 1.2786738680437277 0.0 879.0 258.0 100.0
9bus061915 lou 42.3502322 -71.07565575 1434723906000 0.7111258506774902 4G -51.0 0.0 -1 2147483647 38 1.1692315759793135 0.0 320.0 258.0 100.0
9bus061915 lou 42.35028425 -71.07537832 1434723940000 4.070000171661377 4G -54.42857142857143 1.9591836734693877 -1 2147483647 -72 NA NA NA NA NA
9bus061915 lou 42.35047208 -71.07522614 1434723943000 6.110000133514404 4G -58.0 9.0 -1 2147483647 46 NA NA NA NA NA
9bus061915 lou 42.35062447 -71.07501048 1434723946000 7.500539779663086 4G 0.0 0.0 -1 2147483647 46 NA NA NA NA NA
9bus061915 lou 42.35070297 -71.07475789 1434723950000 5.850136756896973 4G -55.0 0.0 -1 2147483647 -24 1.617992120882918 0.0 513.0 299.0 100.0
9bus061915 lou 42.35073564 -71.07448047 1434723955000 5.540144443511963 4G -63.0 0.0 -1 2147483647 12 NA NA NA NA NA
9bus061915 lou 42.35074069 -71.07416339 1434723957000 8.640092849731445 4G -63.0 0.0 -1 2147483647 -18 NA NA NA NA NA
9bus061915 lou 42.3506948 -71.07390398 1434723960000 5.801043510437012 4G -63.0 0.0 -1 2147483647 62 NA NA NA NA NA
9bus061915 lou 42.35081844 -71.07367458 1434723964000 6.260072231292725 4G -63.0 0.0 -1 2147483647 24 1.2347834606738057 0.0 371.0 275.0 100.0
9bus061915 lou 42.35088608 -71.0734485 1434723970000 0.9426027536392212 4G -57.0 0.0 -1 2147483647 144 1.5940926803972026 0.0 202.0 268.0 100.0
9bus061915 lou 42.35095066 -71.07319079 1434723994000 6.270510673522949 4G -57.0 9.6 -1 2147483647 52 NA NA NA NA NA
9bus061915 lou 42.35111371 -71.07296626 1434723997000 7.360108852386475 4G -63.0 100.0 -1 2147483647 82 NA NA NA NA NA
9bus061915 lou 42.35124991 -71.07279193 1434724000000 6.261150360107422 4G 0.0 0.0 -1 2147483647 82 1.5483511400701668 0.0 354.0 266.0 100.0
9bus061915 lou 42.35126832 -71.07249736 1434724021000 8.280150413513184 4G -67.85714285714286 14.693877551020407 -1 2147483647 66 NA NA NA NA NA
9bus061915 lou 42.35143456 -71.07216878 1434724023000 10.250394821166992 4G -67.0 0.0 -1 2147483647 112 NA NA NA NA NA
